Nombre,Composición por 100g de Porción Comestible,Composition per 100g Edible Portion,P. comestible  por 1g,Edible P. per 1g,Energía kcal,kcal energy,Agua g,g water,Alcohol g,Alcohol g,Proteínas g,g proteins,H. de Carbono g,Carbon H. g,Almidón g,Starch g,Azúcares  sencillos g,Simple sugars g,Azúcares libres g,free sugars g,Fibra vegetal g,Vegetable fiber g,Grasa total g,Total fat g,AGS g,AGS g,AGM g,AGM g,AGP g,AGP g,Colesterol mg,Cholesterol mg,Vitamina A (Eq. de Retinol) µg,Vitamin A (Retinol Eq.) µg,Retinol µg,Retinol µg,Carotenoides (Eq. ß-caroteno)  µg,Carotenoids (Eq. ß-carotene) µg,Vit. D µg,Vit. D µg,Vit. E (Eq. a-tocoferol) mg,Vit. E (Eq. a-tocopherol) mg,Vit. K µg,Vit. K µg,Vitamina B1  mg,Vitamin B1 mg,Vitamina B2  mg,Vitamin B2 mg,Equivalentes de Niacina  mg,Niacin mg equivalents,Vit. B6  mg,Vit. B6mg,Eq. Folato dietético  µg,Eq. Dietary folate µg,Vit. B12  µg,Vit. B12 µg,Pantoténico  mg,Pantothenic mg,Biotina  µg,Biotin µg,Vit. C  mg,Vit. Cmg,Calcio  mg,Calcium mg,Fósforo  mg,Phosphorus mg,Hierro  mg,Iron mg,Iodo  µg,Iodine µg,Cinc  mg,Zinc mg,Magnesio  mg,Magnesium mg,Sodio  mg,Sodium mg,Potasio  mg,Potassium mg,Manganeso  mg,Manganese mg,Cobre  mg,Copper mg,Selenio  µg,Selenium µg
30508,Remolacha,Beet,"0,8",0.8,"46,1",46.1,"87,3",87.3,0,0,"1,6",1.6,"8,4",8.4,Tr.,Tr.,"8,4",8.4,0,0,"2,6",2.6,"0,1",0.1,18,18,99,99,49,49,0,0,"1,8",1.8,0,0,11,11,0,0,47,47,"0,2",0.2,22,22,42,42,"0,32",0.32,"0,05",0.05,83,83,0,0,"0,13",0.13,Tr.,Tr.,10,10,17,17,45,45,"0,91",0.91,"0,4",0.4,"0,36",0.36,21,21,58,58,407,407,"0,24",0.24,84,84,"0,62",0.62
30509,Tapioca,Tapioca,1,1,345,345,"13,9",13.9,0,0,"0,58",0.58,"84,9",84.9,"84,9",84.9,Tr.,Tr.,0,0,"0,4",0.4,"0,2",0.2,"0,05",0.05,"0,05",0.05,"0,03",0.03,0,0,0,0,0,0,0,0,0,0,Tr.,Tr.,0,0,4,4,"0,1",0.1,"0,15",0.15,8,8,Tr.,Tr.,0,0,"0,14",0.14,Tr.,Tr.,0,0,12,12,12,12,1,1,___,___,"0,12",0.12,3,3,4,4,20,20,"0,11",0.11,"0,07",0.07,"0,8",0.8
30510,"Yuca, mandioca, casava","Cassava, cassava, cassava",1,1,164,164,"58,4",58.4,0,0,"1,4",1.4,"38,1",38.1,"36,4",36.4,"1,7",1.7,0,0,"1,8",1.8,"0,3",0.3,"0,07",0.07,"0,08",0.08,"0,05",0.05,0,0,"1,3",1.3,0,0,8,8,0,0,"0,19",0.19,___,___,"0,09",0.09,"0,05",0.05,"0,85",0.85,"0,09",0.09,27,27,0,0,___,___,___,___,21,21,16,16,27,27,"0,3",0.3,___,___,"0,3",0.3,21,21,14,14,271,271,___,___,___,___,"0,7",0.7
30511,Zanahoria,Carrot,"0,87",0.87,"39,8",39.8,"89,1",89.1,0,0,"1,3",1.3,"6,9",6.9,Tr.,Tr.,"6,9",6.9,0,0,"2,6",2.6,"0,2",0.2,39,39,32,32,"0,12",0.12,0,0,1455,1455,0,0,8731,8731,0,0,"0,55",0.55,15,15,"0,06",0.06,"0,05",0.05,"0,77",0.77,"0,14",0.14,"13,9",13.9,0,0,"0,27",0.27,5,5,"6,5",6.5,"27,2",27.2,35,35,"0,47",0.47,"6,5",6.5,"0,28",0.28,"11,2",11.2,61,61,321,321,"0,18",0.18,"0,05",0.05,"1,3",1.3
30601,Remolacha en conserva,Canned beets,1,1,"39,1",39.1,"88,3",88.3,0,0,"2,3",23,"6,4",6.4,"0,8",0.8,"5,6",5.6,0,0,"1,7",1.7,"0,1",0.1,0,0,0,0,"0,09",0.09,0,0,"4,5",4.5,0,0,27,27,0,0,47,47,"0,2",0.2,"0,01",0.01,"0,01",0.01,"0,7",0.7,"0,04",0.04,61,61,0,0,"0,1",0.1,Tr.,Tr.,5,5,29,29,87,87,"0,8",0.8,"0,1",0.1,"0,5",0.5,16,16,110,110,510,510,"0,9",0.9,"0,03",0.03,"0,9",0.9
30602,Zanahoria en conserva,Canned carrot,1,1,"26,8",26.8,"92,3",92.3,0,0,"0,8",0.8,"4,2",4.2,"0,4",0.4,"3,7",3.7,0,0,"2,5",2.5,"0,2",0.2,36,36,"0,01",0.01,93,93,0,0,484,484,0,0,2904,2904,0,0,"0,64",0.64,"9,8",9.8,"0,06",0.06,"0,03",0.03,"0,33",0.33,"0,07",0.07,8,8,0,0,"0,14",0.14,"0,4",0.4,1,1,30,30,29,29,"0,3",0.3,3,3,"0,28",0.28,"0,12",0.12,42,42,180,180,"0,1",0.1,17,17,1,1
30701,Champiñón,Mushroom,"0,8",0.8,34,34,"92,1",92.1,0,0,"4,3",4.3,"0,54",0.54,Tr.,Tr.,"0,54",0.54,0,0,"1,9",1.9,"1,2",1.2,"0,2",0.2,"0,06",0.06,"0,71",0.71,0,0,0,0,0,0,0,0,0,0,"0,13",0.13,14,14,"0,1",0.1,"0,31",0.31,"5,3",5.3,"0,09",0.09,23,23,0,0,"2,1",2.1,16,16,4,4,"10,8",10.8,125,125,1,1,"15,7",15.7,"0,46",0.46,"12,2",12.2,"7,9",7.9,390,390,77,77,"0,37",0.37,7,7
30702,Níscalo,chanterelle,"0,61",0.61,"23,8",23.8,"92,7",92.7,0,0,"1,6",1.6,"0,2",0.2,0,0,"0,2",0.2,0,0,"4,7",4.7,"0,8",0.8,"0,1",0.1,0,0,"0,5",0.5,0,0,0,0,0,0,0,0,"2,1",2.1,"0,13",0.13,14,14,"0,02",0.02,"0,23",0.23,"6,5",6.5,"0,09",0.09,2,2,0,0,"2,1",2.1,___,___,6,6,8,8,44,44,"6,5",6.5,16,16,"0,5",0.5,14,14,3,3,507,507,"0,08",0.08,"0,37",0.37,7,7
30703,Trufa cruda,raw truffle,1,1,126,126,61,61,0,0,9,9,13,13,___,___,___,___,0,0,"16,5",16.5,"0,5",0.5,___,___,___,___,___,___,0,0,___,___,0,0,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,0,0,___,___,___,___,___,___,24,24,62,62,"3,5",3.5,___,___,___,___,28,28,77,77,431,431,___,___,___,___,___,___
30801,Champiñón en conserva,Canned mushroom,1,1,"21,4",21.4,"94,6",94.6,0,0,"3,4",3.4,"0,07",0.07,Tr.,Tr.,"0,07",0.07,0,0,"1,5",1.5,"0,5",0.5,66,66,9,9,"0,2",0.2,0,0,0,0,0,0,0,0,0,0,"0,12",0.12,14,14,"0,02",0.02,"0,19",0.19,"2,9",2.9,"0,06",0.06,8,8,0,0,"0,8",0.8,"8,4",8.4,"1,7",1.7,19,19,69,69,"0,8",0.8,2,2,"0,3",0.3,15,15,308,308,121,121,"0,05",0.05,"0,13",0.13,"8,8",8.8
30802,"Hongos desecados, shiitake","Dried mushrooms, shiitake",1,1,344,344,"9,5",9.5,0,0,"9,6",9.6,"68,4",68.4,"66,2",66.2,"2,2",2.2,0,0,"11,5",11.5,"0,99",0.99,"0,23",0.23,"0,32",0.32,"0,15",0.15,0,0,0,0,0,0,0,0,"3,9",3.9,0,0,___,___,"0,3",0.3,"1,3",1.3,"14,1",14.1,"0,97",0.97,163,163,0,0,___,___,___,___,"3,5",3.5,11,11,294,294,"1,7",1.7,___,___,"7,8",7.8,132,132,13,13,1534,1534,___,___,___,___,"46,1",46.1
30901,Alga agar cruda,raw agar seaweed,1,1,29,29,"92,6",92.6,0,0,"0,54",0.54,"6,4",6.4,"6,1",6.1,"0,28",0.28,0,0,"0,5",0.5,"0,03",0.03,6,6,3,3,"0,01",0.01,0,0,0,0,0,0,0,0,0,0,"0,87",0.87,"2,3",23,5,5,22,22,"0,06",0.06,32,32,85,85,0,0,"0,3",0.3,___,___,0,0,54,54,5,5,"1,9",1.9,12553,12553,"0,58",0.58,67,67,9,9,226,226,"0,37",0.37,61,61,"0,7",0.7
30902,Alga agar desecada,dried algae agar,1,1,336,336,"8,7",8.7,0,0,"6,2",6.2,"73,2",73.2,"70,2",70.2,3,3,0,0,"7,7",7.7,"0,3",0.3,61,61,27,27,"0,1",0.1,0,0,0,0,0,0,0,0,0,0,5,5,"24,4",24.4,"0,01",0.01,"0,22",0.22,"0,2",0.2,"0,3",0.3,580,580,0,0,3,3,___,___,0,0,625,625,52,52,"21,4",21.4,36000,36000,"5,8",5.8,770,770,102,102,1125,1125,"4,3",4.3,"0,61",0.61,"7,4",7.4
30903,Alga espirulina desecada,dried spirulina algae,1,1,391,391,4,4,0,0,"58,2",58.2,"20,3",20.3,"16,9",16.9,"3,1",3.1,0,0,"3,6",3.6,"7,7",7.7,"2,7",2.7,"0,68",0.68,"2,1",2.1,0,0,57,57,0,0,342,342,0,0,5,5,"25,5",25.5,"2,4",2.4,"3,7",3.7,"28,3",28.3,"0,36",0.36,94,94,0,0,"3,5",3.5,___,___,"10,1",10.1,120,120,118,118,"28,5",28.5,36000,36000,2,2,195,195,1048,1048,1363,1363,"1,9",1.9,"6,1",6.1,"7,2",7.2
30904,Alga Kelp cruda,Raw Kelp Seaweed,1,1,"47,6",47.6,"87,4",87.4,0,0,"1,7",1.7,"8,3",8.3,"7,7",7.7,"0,6",0.6,0,0,"1,3",1.3,"0,56",0.56,"0,25",0.25,98,98,47,47,0,0,"11,7",11.7,0,0,70,70,0,0,"0,87",0.87,66,66,"0,05",0.05,"0,15",0.15,"1,3",1.3,2,2,180,180,0,0,"0,64",0.64,___,___,3,3,168,168,42,42,"2,9",2.9,70000,70000,"1,2",1.2,121,121,233,233,89,89,"0,2",0.2,"0,13",0.13,"0,7",0.7
30905,Alga Kelp desecada,Dried Kelp Seaweed,1,1,246,246,"12,3",12.3,0,0,"7,9",7.9,"49,7",49.7,0,0,"49,7",49.7,0,0,"5,3",5.3,"0,6",0.6,"0,2",0.2,"0,1",0.1,42,42,0,0,"73,3",73.3,0,0,440,440,0,0,"0,87",0.87,___,___,"0,21",0.21,"0,32",0.32,"1,5",1.5,"0,01",0.01,180,180,0,0,___,___,___,___,0,0,680,680,250,250,"3,3",3.3,36000,36000,1,1,121,121,3100,3100,7500,7500,___,___,___,___,"0,7",0.7
30906,Alga Laver cruda,Raw Laver Seaweed,1,1,"45,5",45.5,85,85,0,0,"5,8",5.8,"4,8",4.8,"4,3",4.3,"0,49",0.49,0,0,"0,3",0.3,"0,28",0.28,61,61,25,25,"0,11",0.11,0,0,520,520,0,0,3121,3121,0,0,1,1,4,4,98,98,"0,45",0.45,"2,2",2.2,"0,16",0.16,146,146,0,0,"0,52",0.52,___,___,39,39,70,70,58,58,"1,8",1.8,1300,1300,"1,1",1.1,2,2,48,48,356,356,"0,99",0.99,"0,26",0.26,"0,7",0.7
30907,Alga Laver desecada,Dried Laver Seaweed,1,1,225,225,"8,7",8.7,0,0,"30,7",30.7,Tr.,Tr.,0,0,Tr.,Tr.,0,0,"44,4",44.4,"1,5",1.5,"0,33",0.33,"0,13",0.13,"0,59",0.59,0,0,2485,2485,0,0,14910,14910,0,0,1,1,___,___,"0,24",0.24,"1,3",1.3,"5,5",5.5,"0,07",0.07,146,146,0,0,___,___,___,___,14,14,430,430,350,350,"19,6",19.6,1405,1405,"6,4",6.4,___,___,790,790,2840,2840,___,___,___,___,___,___
30908,Alga musgo de Irlanda cruda,Raw Irish moss seaweed,1,1,54,54,"81,3",81.3,0,0,"1,5",1.5,11,11,"10,4",10.4,"0,61",0.61,0,0,"1,3",1.3,"0,16",0.16,33,33,15,15,55,55,0,0,6,6,0,0,___,___,0,0,"0,87",0.87,"66,9",66.9,15,15,"0,47",0.47,"0,59",0.59,69,69,182,182,0,0,"0,18",0.18,___,___,3,3,72,72,157,157,"8,9",8.9,6100,6100,2,2,144,144,67,67,63,63,"0,37",0.37,"0,15",0.15,"0,7",0.7
30909,Alga Spirulina cruda,Raw Spirulina Algae,1,1,"37,1",37.1,"90,7",90.7,0,0,"5,9",5.9,"2,4",2.4,2,2,"0,36",0.36,0,0,"0,4",0.4,"0,39",0.39,"0,14",0.14,35,35,"0,11",0.11,0,0,"5,5",5.5,0,0,33,33,0,0,"0,49",0.49,"2,5",2.5,"0,22",0.22,34,34,"2,8",2.8,34,34,9,9,0,0,"0,33",0.33,___,___,"0,9",0.9,12,12,11,11,"2,8",2.8,3467,3467,"0,2",0.2,19,19,98,98,217,217,"0,19",0.19,"0,6",0.6,"0,7",0.7
30910,Alga Wakame cruda,Raw Wakame Seaweed,1,1,"53,6",53.6,86,86,0,0,3,3,"8,7",8.7,8,8,"0,65",0.65,0,0,"0,5",0.5,"0,64",0.64,"0,13",0.13,58,58,"0,22",0.22,0,0,36,36,0,0,216,216,0,0,1,1,"71,7",71.7,"0,06",0.06,"0,23",0.23,"2,2",2.2,2,2,196,196,0,0,"0,7",0.7,___,___,3,3,150,150,80,80,"2,2",2.2,3900,3900,"0,38",0.38,107,107,872,872,50,50,"1,4",1.4,"0,28",0.28,"0,7",0.7
30911,Alga Wakame desecada,Dried Wakame Seaweed,1,1,165,165,"12,2",12.2,0,0,"12,4",12.4,Tr.,Tr.,0,0,Tr.,Tr.,0,0,"47,1",47.1,"2,4",2.4,"0,49",0.49,"0,22",0.22,"0,82",0.82,0,0,86,86,0,0,515,515,0,0,1,1,___,___,"0,11",0.11,"0,14",0.14,"4,6",4.6,"0,01",0.01,196,196,0,0,___,___,___,___,15,15,660,660,310,310,"11,6",11.6,2396,2396,"1,7",1.7,___,___,3220,3220,220,220,___,___,___,___,___,___
40101,Aguacate,Avocado,"0,71",0.71,233,233,"67,9",67.9,0,0,"1,9",1.9,"0,4",0.4,Tr.,Tr.,"0,4",0.4,0,0,"6,3",6.3,"23,5",23.5,"1,9",1.9,"15,5",15.5,"1,9",1.9,0,0,"19,3",19.3,0,0,116,116,0,0,"1,3",1.3,19,19,"0,08",0.08,"0,15",0.15,"1,4",1.4,"0,36",0.36,30,30,0,0,"1,1",1.1,10,10,6,6,12,12,43,43,"0,49",0.49,1,1,"0,4",0.4,30,30,"4,7",4.7,487,487,"0,2",0.2,"0,23",0.23,"0,4",0.4
40102,Albaricoque,Apricot,"0,92",0.92,"41,4",41.4,"88,9",88.9,0,0,"0,88",0.88,"8,5",8.5,Tr.,Tr.,"8,5",8.5,0,0,"1,5",1.5,"0,1",0.1,"0,01",0.01,"0,04",0.04,"0,02",0.02,0,0,26,26,0,0,156,156,0,0,"0,5",0.5,"3,3",3.3,"0,04",0.04,53,53,"0,65",0.65,"0,07",0.07,5,5,0,0,"0,27",0.27,___,___,6,6,16,16,21,21,"0,65",0.65,"0,5",0.5,"0,14",0.14,11,11,2,2,279,279,"0,16",0.16,"0,13",0.13,"1,3",1.3
40103,Arándano,Blueberry,"0,99",0.99,"42,1",42.1,"87,8",87.8,0,0,"0,63",0.63,"6,1",6.1,0,0,"6,1",6.1,0,0,"4,9",4.9,"0,6",0.6,Tr.,Tr.,Tr.,Tr.,Tr.,Tr.,0,0,34,34,0,0,204,204,0,0,"1,9",1.9,12,12,"0,02",0.02,"0,02",0.02,"0,09",0.09,"0,06",0.06,10,10,0,0,"0,16",0.16,"1,1",1.1,22,22,10,10,13,13,"0,74",0.74,1,1,"0,13",0.13,"2,4",2.4,1,1,78,78,"4,2",4.2,77,77,"0,1",0.1
40104,Caqui,Khaki,"0,87",0.87,"74,2",74.2,"80,5",80.5,0,0,"0,63",0.63,16,16,0,0,16,16,0,0,"2,5",2.5,"0,3",0.3,49,49,94,94,62,62,0,0,267,267,0,0,1600,1600,0,0,"0,59",0.59,"2,6",2.6,24,24,"0,03",0.03,"0,28",0.28,"0,1",0.1,7,7,0,0,"0,16",0.16,___,___,16,16,8,8,25,25,"0,37",0.37,3,3,38,38,8,8,4,4,178,178,47,47,"0,02",0.02,"0,6",0.6
40105,Carambola,Cannon,1,1,31,31,91,91,0,0,"0,5",0.5,"6,3",6.3,"0,3",0.3,6,6,0,0,"1,7",1.7,0,0,0,0,0,0,0,0,___,___,31,31,0,0,188,188,0,0,"0,5",0.5,___,___,"0,03",0.03,"0,03",0.03,"0,47",0.47,"0,1",0.1,0,0,0,0,___,___,___,___,23,23,4,4,15,15,"0,5",0.5,___,___,"0,1",0.1,8,8,3,3,158,158,___,___,___,___,___,___
40106,Cereza,Cherry,"0,83",0.83,"62,1",62.1,"84,2",84.2,0,0,"0,88",0.88,"13,3",13.3,0,0,"13,3",13.3,0,0,"1,3",1.3,"0,31",0.31,"0,07",0.07,84,84,93,93,0,0,"2,8",2.8,0,0,"16,5",16.5,0,0,"0,13",0.13,"1,5",1.5,39,39,42,42,"0,33",0.33,45,45,52,52,0,0,"0,19",0.19,"0,4",0.4,15,15,17,17,23,23,"0,35",0.35,"1,2",1.2,87,87,13,13,"2,7",2.7,234,234,84,84,99,99,"1,2",1.2
40107,Chirimoya,Custard apple,"0,6",0.6,"72,7",72.7,"81,6",81.6,0,0,"1,3",1.3,"14,1",14.1,0,0,"14,1",14.1,0,0,"2,4",2.4,"0,7",0.7,"0,2",0.2,"0,1",0.1,"0,3",0.3,0,0,"9,8",9.8,0,0,"58,8",58.8,0,0,"0,01",0.01,___,___,"0,07",0.07,"0,11",0.11,"1,2",1.2,"0,03",0.03,"12,5",12.5,0,0,"0,24",0.24,___,___,"14,2",14.2,"21,2",21.2,21,21,"0,43",0.43,"1,5",1.5,"0,11",0.11,"17,3",17.3,4,4,382,382,83,83,73,73,___,___
40108,Ciruela,Plum,"0,94",0.94,"48,1",48.1,"87,4",87.4,0,0,"0,63",0.63,"10,2",10.2,0,0,"10,2",10.2,0,0,"1,6",1.6,"0,17",0.17,22,22,52,52,78,78,0,0,"23,2",23.2,0,0,139,139,0,0,"0,86",0.86,"8,3",8.3,72,72,43,43,"1,3",1.3,45,45,2,2,0,0,"0,18",0.18,"0,1",0.1,"5,4",5.4,"8,3",8.3,17,17,"0,26",0.26,"1,4",1.4,93,93,"7,9",7.9,"1,7",1.7,177,177,68,68,71,71,"0,59",0.59
40109,Coco fresco,fresh coconut,"0,7",0.7,384,384,"45,1",45.1,0,0,"4,6",4.6,"4,8",4.8,0,0,"4,8",4.8,0,0,9,9,"36,5",36.5,"31,8",31.8,"2,2",2.2,"0,68",0.68,0,0,0,0,0,0,0,0,0,0,"0,73",0.73,"0,2",0.2,61,61,8,8,"1,2",1.2,"0,06",0.06,30,30,0,0,"0,2",0.2,___,___,2,2,20,20,94,94,"2,3",23,"1,2",1.2,"0,79",0.79,39,39,35,35,379,379,"1,3",1.3,"0,44",0.44,"10,1",10.1
40110,Frambuesa,Raspberry,1,1,"36,9",36.9,"88,8",88.8,0,0,"1,3",1.3,"4,9",4.9,0,0,"4,9",4.9,0,0,"4,7",4.7,"0,3",0.3,"0,01",0.01,"0,03",0.03,"0,2",0.2,0,0,"3,8",3.8,0,0,"22,5",22.5,0,0,"0,91",0.91,10,10,23,23,"0,05",0.05,"0,78",0.78,"0,06",0.06,30,30,0,0,"0,3",0.3,"1,9",1.9,25,25,40,40,44,44,1,1,3,3,"0,36",0.36,30,30,"1,3",1.3,200,200,"0,38",0.38,93,93,"1,3",1.3
40111,Fresa y fresón,Strawberry and strawberry,"0,95",0.95,"32,2",32.2,"91,6",91.6,0,0,"0,81",0.81,"5,5",5.5,0,0,"5,5",5.5,0,0,"1,7",1.7,"0,4",0.4,32,32,63,63,"0,24",0.24,0,0,3,3,0,0,18,18,0,0,"0,23",0.23,"5,5",5.5,31,31,54,54,"0,79",0.79,"0,06",0.06,"61,6",61.6,0,0,"0,34",0.34,4,4,"54,9",54.9,"21,5",21.5,26,26,"0,46",0.46,"2,7",2.7,"0,22",0.22,"13,3",13.3,"1,4",1.4,161,161,"0,39",0.39,46,46,"1,3",1.3
40112,Granada,Grenade,"0,56",0.56,"77,2",77.2,"80,4",80.4,0,0,"0,69",0.69,"16,1",16.1,0,0,"16,1",16.1,0,0,"2,3",23,"0,6",0.6,76,76,"0,09",0.09,"0,13",0.13,0,0,"6,7",6.7,0,0,40,40,0,0,"0,55",0.55,"4,6",4.6,"0,05",0.05,"0,02",0.02,"0,3",0.3,"0,2",0.2,29,29,0,0,"0,6",0.6,___,___,7,7,8,8,17,17,"0,5",0.5,___,___,"0,23",0.23,3,3,"2,5",2.5,238,238,"0,13",0.13,"0,12",0.12,"0,6",0.6
40113,Grosella negra,black currant,"0,98",0.98,"45,2",45.2,"85,6",85.6,0,0,"1,3",1.3,"6,1",6.1,0,0,"6,1",6.1,0,0,"6,8",6.8,"0,22",0.22,26,26,25,25,"0,11",0.11,0,0,"13,5",13.5,0,0,81,81,0,0,"1,9",1.9,30,30,51,51,44,44,"0,4",0.4,"0,08",0.08,"8,8",8.8,0,0,"0,4",0.4,"2,4",2.4,177,177,46,46,40,40,"1,3",1.3,1,1,"0,25",0.25,17,17,"1,7",1.7,303,303,"0,35",0.35,"0,1",0.1,"1,7",1.7
40114,Grosella roja,red currant,"0,99",0.99,"32,4",32.4,"90,4",90.4,0,0,"1,1",1.1,"4,8",4.8,Tr.,Tr.,"4,8",4.8,0,0,"3,5",3.5,"0,2",0.2,39,39,29,29,73,73,0,0,"4,2",4.2,0,0,25,25,0,0,"0,72",0.72,11,11,"0,04",0.04,"0,03",0.03,"0,3",0.3,45,45,11,11,0,0,"0,06",0.06,"2,6",2.6,36,36,29,29,27,27,"0,91",0.91,1,1,"0,24",0.24,13,13,"1,6",1.6,257,257,"0,24",0.24,"0,14",0.14,"1,3",1.3
40115,Guayaba,Guava,"0,89",0.89,"41,6",41.6,"87,6",87.6,0,0,"0,88",0.88,"5,8",5.8,0,0,"5,8",5.8,0,0,"5,2",5.2,"0,5",0.5,"0,14",0.14,45,45,"0,21",0.21,0,0,122,122,0,0,733,733,0,0,"1,1",1.1,"2,6",2.6,"0,03",0.03,"0,04",0.04,"1,1",1.1,"0,14",0.14,14,14,0,0,"0,15",0.15,___,___,273,273,17,17,31,31,"0,75",0.75,___,___,"0,56",0.56,13,13,4,4,290,290,"0,1",0.1,"0,1",0.1,"0,5",0.5
40116,Higo,Fig,"0,81",0.81,"65,3",65.3,"83,3",83.3,0,0,"1,3",1.3,"12,9",12.9,0,0,"12,9",12.9,0,0,2,2,"0,5",0.5,89,89,98,98,"0,21",0.21,0,0,8,8,0,0,48,48,0,0,"0,89",0.89,"4,7",4.7,46,46,"0,05",0.05,"0,64",0.64,"0,11",0.11,"6,7",6.7,0,0,"0,3",0.3,___,___,"2,7",2.7,54,54,32,32,"0,6",0.6,"1,5",1.5,"0,24",0.24,20,20,"1,3",1.3,248,248,43,43,81,81,"1,6",1.6
40117,Kiwi,Kiwi,"0,86",0.86,"51,8",51.8,87,87,0,0,1,1,"9,1",9.1,Tr.,Tr.,"9,1",9.1,0,0,"2,1",2.1,"0,8",0.8,"0,1",0.1,"0,1",0.1,"0,4",0.4,0,0,"6,2",6.2,0,0,"37,3",37.3,0,0,"0,93",0.93,"3,3",3.3,"0,02",0.02,"0,04",0.04,"0,6",0.6,"0,12",0.12,"26,8",26.8,0,0,"0,18",0.18,___,___,"43,1",43.1,"34,1",34.1,32,32,"0,37",0.37,"0,33",0.33,"0,16",0.16,"14,9",14.9,4,4,290,290,"0,1",0.1,"0,13",0.13,"0,6",0.6
40118,Lima,Lime,"0,7",0.7,17,17,"94,6",94.6,0,0,"0,5",0.5,"1,9",1.9,0,0,"1,9",1.9,0,0,"2,8",2.8,"0,2",0.2,22,22,19,19,55,55,0,0,"1,7",1.7,0,0,10,10,0,0,"0,8",0.8,"0,6",0.6,21,21,"0,02",0.02,"0,25",0.25,"0,04",0.04,10,10,0,0,"0,2",0.2,___,___,44,44,13,13,11,11,"0,2",0.2,"1,5",1.5,"0,11",0.11,8,8,2,2,82,82,8,8,65,65,"0,4",0.4
40119,Limón,Lemon,"0,64",0.64,"27,7",27.7,"91,2",91.2,0,0,"0,69",0.69,"3,2",3.2,0,0,"3,2",3.2,0,0,"4,7",4.7,"0,3",0.3,39,39,11,11,89,89,0,0,"0,57",0.57,0,0,"3,4",3.4,0,0,"0,8",0.8,"0,2",0.2,51,51,"0,02",0.02,"0,27",0.27,"0,06",0.06,"6,3",6.3,0,0,"0,23",0.23,"0,5",0.5,51,51,11,11,16,16,"0,45",0.45,"1,5",1.5,"0,11",0.11,28,28,"1,9",1.9,170,170,42,42,"0,13",0.13,1,1
40120,Litchi,Litchi,"0,62",0.62,"76,7",76.7,"80,4",80.4,0,0,"0,9",0.9,"16,8",16.8,0,0,"16,8",16.8,0,0,"1,6",1.6,"0,3",0.3,68,68,82,82,94,94,0,0,0,0,0,0,0,0,0,0,"0,1",0.1,"0,4",0.4,"0,05",0.05,"0,05",0.05,"0,6",0.6,"0,05",0.05,70,70,0,0,___,___,___,___,39,39,"9,3",9.3,33,33,"0,35",0.35,___,___,"0,21",0.21,11,11,"2,5",2.5,185,185,"0,1",0.1,"0,2",0.2,"0,6",0.6
40121,Mandarina,Tangerine,"0,76",0.76,"44,7",44.7,"88,2",88.2,0,0,"0,63",0.63,"9,2",9.2,0,0,"9,2",9.2,0,0,"1,8",1.8,"0,2",0.2,22,22,34,34,37,37,0,0,65,65,0,0,390,390,0,0,"0,29",0.29,0,0,"0,06",0.06,"0,03",0.03,"0,41",0.41,"0,08",0.08,"21,8",21.8,0,0,"0,2",0.2,"0,45",0.45,32,32,"34,5",34.5,20,20,"0,3",0.3,Tr.,Tr.,"0,09",0.09,"10,9",10.9,"1,1",1.1,150,150,37,37,56,56,"2,4",2.4
40122,Mango,Mango,"0,66",0.66,"61,2",61.2,"84,4",84.4,0,0,"0,63",0.63,"12,8",12.8,"0,3",0.3,"12,5",12.5,0,0,"1,7",1.7,"0,45",0.45,"0,1",0.1,"0,18",0.18,76,76,0,0,207,207,0,0,1243,1243,0,0,1,1,"0,7",0.7,45,45,"0,05",0.05,"0,66",0.66,"0,13",0.13,36,36,0,0,"0,16",0.16,___,___,37,37,12,12,13,13,"0,4",0.4,"1,6",1.6,"0,12",0.12,18,18,5,5,170,170,"0,17",0.17,64,64,"0,6",0.6
40123,Manzana,Apple,"0,89",0.89,"54,1",54.1,"85,9",85.9,0,0,"0,31",0.31,"11,4",11.4,"0,6",0.6,"10,8",10.8,0,0,2,2,"0,36",0.36,58,58,"0,15",0.15,"0,11",0.11,0,0,3,3,0,0,18,18,0,0,"0,36",0.36,"3,7",3.7,35,35,32,32,"0,13",0.13,"0,06",0.06,"5,8",5.8,0,0,61,61,"1,2",1.2,"12,4",12.4,"5,5",5.5,11,11,"0,56",0.56,"1,1",1.1,"0,13",0.13,"5,6",5.6,"1,2",1.2,120,120,45,45,52,52,"1,4",1.4
40124,Maracuyá,passion fruit,"0,61",0.61,"54,2",54.2,"86,3",86.3,0,0,"2,4",2.4,"9,5",9.5,0,0,"9,5",9.5,0,0,"1,5",1.5,"0,4",0.4,"0,1",0.1,"0,1",0.1,"0,11",0.11,0,0,109,109,0,0,653,653,0,0,"0,2",0.2,"0,7",0.7,"0,02",0.02,"0,1",0.1,"1,9",1.9,0,0,29,29,0,0,___,___,___,___,24,24,17,17,57,57,"1,3",1.3,___,___,"0,65",0.65,29,29,19,19,267,267,"0,46",0.46,"0,16",0.16,"0,2",0.2
