Area,Item,Unit,Value,Sentence
Finland,Oil of palm kernel,t,0.0,The production of Oil of palm kernel in Finland is 0.0 t per year
Finland,Oil of sesame seed,t,0.0,The production of Oil of sesame seed in Finland is 0.0 t per year
Finland,Olives,t,0.0,The production of Olives in Finland is 0.0 t per year
Finland,"Onions and shallots, dry (excluding dehydrated)",t,30290.0,"The production of Onions and shallots, dry (excluding dehydrated) in Finland is 30290.0 t per year"
Finland,Oranges,t,0.0,The production of Oranges in Finland is 0.0 t per year
Finland,"Other beans, green",t,70.0,"The production of Other beans, green in Finland is 70.0 t per year"
Finland,Other berries and fruits of the genus vaccinium n.e.c.,t,170.0,The production of Other berries and fruits of the genus vaccinium n.e.c. in Finland is 170.0 t per year
Finland,"Other citrus fruit, n.e.c.",t,0.0,"The production of Other citrus fruit, n.e.c. in Finland is 0.0 t per year"
Finland,"Other fruits, n.e.c.",t,0.0,"The production of Other fruits, n.e.c. in Finland is 0.0 t per year"
Finland,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",t,2638.59,"The production of Other meat n.e.c. (excluding mammals), fresh, chilled or frozen in Finland is 2638.59 t per year"
Finland,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",t,0.0,"The production of Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. in Finland is 0.0 t per year"
Finland,"Other oil seeds, n.e.c.",t,540.0,"The production of Other oil seeds, n.e.c. in Finland is 540.0 t per year"
Finland,Other pome fruits,t,0.0,The production of Other pome fruits in Finland is 0.0 t per year
Finland,Other stone fruits,t,0.0,The production of Other stone fruits in Finland is 0.0 t per year
Finland,"Other tropical fruits, n.e.c.",t,0.0,"The production of Other tropical fruits, n.e.c. in Finland is 0.0 t per year"
Finland,"Other vegetables, fresh n.e.c.",t,0.0,"The production of Other vegetables, fresh n.e.c. in Finland is 0.0 t per year"
Finland,Peaches and nectarines,t,0.0,The production of Peaches and nectarines in Finland is 0.0 t per year
Finland,Pears,t,320.0,The production of Pears in Finland is 320.0 t per year
Finland,"Peas, dry",t,92250.0,"The production of Peas, dry in Finland is 92250.0 t per year"
Finland,"Peas, green",t,7580.0,"The production of Peas, green in Finland is 7580.0 t per year"
Finland,"Pig fat, rendered",t,560.02,"The production of Pig fat, rendered in Finland is 560.02 t per year"
Finland,Plums and sloes,t,0.0,The production of Plums and sloes in Finland is 0.0 t per year
Finland,Pomelos and grapefruits,t,0.0,The production of Pomelos and grapefruits in Finland is 0.0 t per year
Finland,Potatoes,t,561700.0,The production of Potatoes in Finland is 561700.0 t per year
Finland,"Pumpkins, squash and gourds",t,2820.0,"The production of Pumpkins, squash and gourds in Finland is 2820.0 t per year"
Finland,Rape or colza seed,t,57250.0,The production of Rape or colza seed in Finland is 57250.0 t per year
Finland,"Rapeseed or canola oil, crude",t,48800.0,"The production of Rapeseed or canola oil, crude in Finland is 48800.0 t per year"
Finland,Raspberries,t,1470.0,The production of Raspberries in Finland is 1470.0 t per year
Finland,Raw cane or beet sugar (centrifugal only),t,65085.24,The production of Raw cane or beet sugar (centrifugal only) in Finland is 65085.24 t per year
Finland,Raw hides and skins of cattle,t,9435.69,The production of Raw hides and skins of cattle in Finland is 9435.69 t per year
Finland,Raw hides and skins of goats or kids,t,0.0,The production of Raw hides and skins of goats or kids in Finland is 0.0 t per year
Finland,Raw hides and skins of sheep or lambs,t,105.0,The production of Raw hides and skins of sheep or lambs in Finland is 105.0 t per year
Finland,Raw milk of buffalo,t,0.0,The production of Raw milk of buffalo in Finland is 0.0 t per year
Finland,Raw milk of cattle,t,2258630.0,The production of Raw milk of cattle in Finland is 2258630.0 t per year
Finland,Raw milk of goats,t,0.0,The production of Raw milk of goats in Finland is 0.0 t per year
Finland,Raw milk of sheep,t,0.0,The production of Raw milk of sheep in Finland is 0.0 t per year
Finland,Rice,t,0.0,The production of Rice in Finland is 0.0 t per year
Finland,Rye,t,66080.0,The production of Rye in Finland is 66080.0 t per year
Finland,"Sheep fat, unrendered",t,42.0,"The production of Sheep fat, unrendered in Finland is 42.0 t per year"
Finland,"Shorn wool, greasy, including fleece-washed shorn wool",t,77.31,"The production of Shorn wool, greasy, including fleece-washed shorn wool in Finland is 77.31 t per year"
Finland,Skim milk and whey powder,t,62805.37,The production of Skim milk and whey powder in Finland is 62805.37 t per year
Finland,Skim milk of cows,t,904645.12,The production of Skim milk of cows in Finland is 904645.12 t per year
Finland,Sorghum,t,0.0,The production of Sorghum in Finland is 0.0 t per year
Finland,Sour cherries,t,0.0,The production of Sour cherries in Finland is 0.0 t per year
Finland,Soya bean oil,t,5000.0,The production of Soya bean oil in Finland is 5000.0 t per year
Finland,Soya beans,t,0.0,The production of Soya beans in Finland is 0.0 t per year
Finland,Spinach,t,710.0,The production of Spinach in Finland is 710.0 t per year
Finland,Strawberries,t,16040.0,The production of Strawberries in Finland is 16040.0 t per year
Finland,Sugar beet,t,380200.0,The production of Sugar beet in Finland is 380200.0 t per year
Finland,Sunflower seed,t,0.0,The production of Sunflower seed in Finland is 0.0 t per year
Finland,"Sunflower-seed oil, crude",t,4200.0,"The production of Sunflower-seed oil, crude in Finland is 4200.0 t per year"
Finland,Tallow,t,13500.0,The production of Tallow in Finland is 13500.0 t per year
Finland,"Tangerines, mandarins, clementines",t,0.0,"The production of Tangerines, mandarins, clementines in Finland is 0.0 t per year"
Finland,Tomatoes,t,34070.0,The production of Tomatoes in Finland is 34070.0 t per year
Finland,Triticale,t,10140.0,The production of Triticale in Finland is 10140.0 t per year
Finland,Unmanufactured tobacco,t,0.0,The production of Unmanufactured tobacco in Finland is 0.0 t per year
Finland,"Walnuts, in shell",t,0.0,"The production of Walnuts, in shell in Finland is 0.0 t per year"
Finland,Watermelons,t,0.0,The production of Watermelons in Finland is 0.0 t per year
Finland,Wheat,t,864180.0,The production of Wheat in Finland is 864180.0 t per year
Finland,"Whey, condensed",t,0.0,"The production of Whey, condensed in Finland is 0.0 t per year"
Finland,"Whey, dry",t,22777.2,"The production of Whey, dry in Finland is 22777.2 t per year"
Finland,Whole milk powder,t,15111.95,The production of Whole milk powder in Finland is 15111.95 t per year
Finland,"Whole milk, condensed",t,0.0,"The production of Whole milk, condensed in Finland is 0.0 t per year"
Finland,"Beef and Buffalo Meat, primary",t,84580.0,"The production of Beef and Buffalo Meat, primary in Finland is 84580.0 t per year"
Finland,Butter and Ghee,t,58760.0,The production of Butter and Ghee in Finland is 58760.0 t per year
Finland,"Cereals, primary",t,3684010.0,"The production of Cereals, primary in Finland is 3684010.0 t per year"
Finland,Cheese (All Kinds),t,83610.0,The production of Cheese (All Kinds) in Finland is 83610.0 t per year
Finland,"Citrus Fruit, Total",t,0.0,"The production of Citrus Fruit, Total in Finland is 0.0 t per year"
Finland,Eggs Primary,t,76330.0,The production of Eggs Primary in Finland is 76330.0 t per year
Finland,Evaporated & Condensed Milk,t,0.0,The production of Evaporated & Condensed Milk in Finland is 0.0 t per year
Finland,"Fibre Crops, Fibre Equivalent",t,0.0,"The production of Fibre Crops, Fibre Equivalent in Finland is 0.0 t per year"
Finland,Fruit Primary,t,27230.0,The production of Fruit Primary in Finland is 27230.0 t per year
Finland,"Meat, Poultry",t,147120.0,"The production of Meat, Poultry in Finland is 147120.0 t per year"
Finland,"Meat, Total",t,403712.0,"The production of Meat, Total in Finland is 403712.0 t per year"
Finland,"Milk, Total",t,2258630.0,"The production of Milk, Total in Finland is 2258630.0 t per year"
Finland,"Oilcrops, Cake Equivalent",t,54780.0,"The production of Oilcrops, Cake Equivalent in Finland is 54780.0 t per year"
Finland,"Oilcrops, Oil Equivalent",t,34694.0,"The production of Oilcrops, Oil Equivalent in Finland is 34694.0 t per year"
Finland,"Pulses, Total",t,111500.0,"The production of Pulses, Total in Finland is 111500.0 t per year"
Finland,"Roots and Tubers, Total",t,561700.0,"The production of Roots and Tubers, Total in Finland is 561700.0 t per year"
Finland,Sheep and Goat Meat,t,1320.0,The production of Sheep and Goat Meat in Finland is 1320.0 t per year
Finland,"Skim Milk & Buttermilk, Dry",t,81721.0,"The production of Skim Milk & Buttermilk, Dry in Finland is 81721.0 t per year"
Finland,Sugar Crops Primary,t,380200.0,The production of Sugar Crops Primary in Finland is 380200.0 t per year
Finland,"Treenuts, Total",t,0.0,"The production of Treenuts, Total in Finland is 0.0 t per year"
Finland,Vegetables Primary,t,254950.0,The production of Vegetables Primary in Finland is 254950.0 t per year
France,"Almonds, in shell",t,2520.0,"The production of Almonds, in shell in France is 2520.0 t per year"
France,Apples,t,1785660.0,The production of Apples in France is 1785660.0 t per year
France,Apricots,t,128080.0,The production of Apricots in France is 128080.0 t per year
France,Artichokes,t,21750.0,The production of Artichokes in France is 21750.0 t per year
France,Asparagus,t,26250.0,The production of Asparagus in France is 26250.0 t per year
France,Avocados,t,1080.0,The production of Avocados in France is 1080.0 t per year
France,Bananas,t,225530.0,The production of Bananas in France is 225530.0 t per year
France,Barley,t,11285440.0,The production of Barley in France is 11285440.0 t per year
France,"Beans, dry",t,11047.0,"The production of Beans, dry in France is 11047.0 t per year"
France,"Beer of barley, malted",t,2180000.0,"The production of Beer of barley, malted in France is 2180000.0 t per year"
France,Beeswax,t,438.42,The production of Beeswax in France is 438.42 t per year
France,Blueberries,t,7611.0,The production of Blueberries in France is 7611.0 t per year
France,"Broad beans and horse beans, dry",t,157850.0,"The production of Broad beans and horse beans, dry in France is 157850.0 t per year"
France,"Broad beans and horse beans, green",t,39000.0,"The production of Broad beans and horse beans, green in France is 39000.0 t per year"
France,Buckwheat,t,263485.0,The production of Buckwheat in France is 263485.0 t per year
France,Butter of cow milk,t,410540.0,The production of Butter of cow milk in France is 410540.0 t per year
France,"Buttermilk, dry",t,26500.0,"The production of Buttermilk, dry in France is 26500.0 t per year"
France,Cabbages,t,163170.0,The production of Cabbages in France is 163170.0 t per year
France,Cantaloupes and other melons,t,307500.0,The production of Cantaloupes and other melons in France is 307500.0 t per year
France,Carrots and turnips,t,662410.0,The production of Carrots and turnips in France is 662410.0 t per year
France,"Cattle fat, unrendered",t,77149.69,"The production of Cattle fat, unrendered in France is 77149.69 t per year"
France,Cauliflowers and broccoli,t,211390.0,The production of Cauliflowers and broccoli in France is 211390.0 t per year
France,Cereals n.e.c.,t,244490.0,The production of Cereals n.e.c. in France is 244490.0 t per year
France,"Cheese from milk of buffalo, fresh or processed",t,22990.0,"The production of Cheese from milk of buffalo, fresh or processed in France is 22990.0 t per year"
France,"Cheese from milk of goats, fresh or processed",t,87860.0,"The production of Cheese from milk of goats, fresh or processed in France is 87860.0 t per year"
France,"Cheese from milk of sheep, fresh or processed",t,67920.0,"The production of Cheese from milk of sheep, fresh or processed in France is 67920.0 t per year"
France,Cheese from skimmed cow milk,t,352020.05,The production of Cheese from skimmed cow milk in France is 352020.05 t per year
France,Cheese from whole cow milk,t,1687190.0,The production of Cheese from whole cow milk in France is 1687190.0 t per year
France,Cherries,t,34990.0,The production of Cherries in France is 34990.0 t per year
France,"Chestnuts, in shell",t,10280.0,"The production of Chestnuts, in shell in France is 10280.0 t per year"
France,Chicory roots,t,50335.4,The production of Chicory roots in France is 50335.4 t per year
France,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",t,26440.0,"The production of Chillies and peppers, green (Capsicum spp. and Pimenta spp.) in France is 26440.0 t per year"
France,Coconut oil,t,0.0,The production of Coconut oil in France is 0.0 t per year
France,"Coconuts, in shell",t,4442.0,"The production of Coconuts, in shell in France is 4442.0 t per year"
France,Cotton seed,t,0.0,The production of Cotton seed in France is 0.0 t per year
France,Cottonseed oil,t,0.0,The production of Cottonseed oil in France is 0.0 t per year
France,Cranberries,t,0.0,The production of Cranberries in France is 0.0 t per year
France,"Cream, fresh",t,474390.0,"The production of Cream, fresh in France is 474390.0 t per year"
France,Cucumbers and gherkins,t,175180.0,The production of Cucumbers and gherkins in France is 175180.0 t per year
France,Currants,t,9960.0,The production of Currants in France is 9960.0 t per year
France,"Edible offal of cattle, fresh, chilled or frozen",t,192874.22,"The production of Edible offal of cattle, fresh, chilled or frozen in France is 192874.22 t per year"
France,"Edible offal of goat, fresh, chilled or frozen",t,2336.13,"The production of Edible offal of goat, fresh, chilled or frozen in France is 2336.13 t per year"
France,"Edible offal of pigs, fresh, chilled or frozen",t,275699.0,"The production of Edible offal of pigs, fresh, chilled or frozen in France is 275699.0 t per year"
France,"Edible offal of sheep, fresh, chilled or frozen",t,8696.49,"The production of Edible offal of sheep, fresh, chilled or frozen in France is 8696.49 t per year"
France,"Edible offals of horses and other equines,  fresh, chilled or frozen",t,588.38,"The production of Edible offals of horses and other equines,  fresh, chilled or frozen in France is 588.38 t per year"
France,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",t,62327.0,"The production of Edible roots and tubers with high starch or inulin content, n.e.c., fresh in France is 62327.0 t per year"
France,Eggplants (aubergines),t,42480.0,The production of Eggplants (aubergines) in France is 42480.0 t per year
France,Fat of pigs,t,75454.46,The production of Fat of pigs in France is 75454.46 t per year
France,Figs,t,6920.0,The production of Figs in France is 6920.0 t per year
France,"Flax, raw or retted",t,652680.0,"The production of Flax, raw or retted in France is 652680.0 t per year"
France,"Goat fat, unrendered",t,785.79,"The production of Goat fat, unrendered in France is 785.79 t per year"
France,Grapes,t,6199950.0,The production of Grapes in France is 6199950.0 t per year
France,Green corn (maize),t,412777.0,The production of Green corn (maize) in France is 412777.0 t per year
France,Green garlic,t,19430.0,The production of Green garlic in France is 19430.0 t per year
France,Groundnut oil,t,703.08,The production of Groundnut oil in France is 703.08 t per year
France,"Hazelnuts, in shell",t,9960.0,"The production of Hazelnuts, in shell in France is 9960.0 t per year"
France,Hempseed,t,10806.63,The production of Hempseed in France is 10806.63 t per year
France,"Hen eggs in shell, fresh",t,877856.0,"The production of Hen eggs in shell, fresh in France is 877856.0 t per year"
France,"Hen eggs in shell, fresh",1000 No,15364094.0,"The production of Hen eggs in shell, fresh in France is 15364094.0 1000 No per year"
France,Hop cones,t,1100.0,The production of Hop cones in France is 1100.0 t per year
France,"Horse meat, fresh or chilled",t,5673.67,"The production of Horse meat, fresh or chilled in France is 5673.67 t per year"
France,Kiwi fruit,t,47120.0,The production of Kiwi fruit in France is 47120.0 t per year
France,Leeks and other alliaceous vegetables,t,157520.0,The production of Leeks and other alliaceous vegetables in France is 157520.0 t per year
France,Lemons and limes,t,21690.0,The production of Lemons and limes in France is 21690.0 t per year
France,"Lentils, dry",t,39994.0,"The production of Lentils, dry in France is 39994.0 t per year"
France,Lettuce and chicory,t,438740.0,The production of Lettuce and chicory in France is 438740.0 t per year
France,Linseed,t,50790.0,The production of Linseed in France is 50790.0 t per year
France,Lupins,t,11020.0,The production of Lupins in France is 11020.0 t per year
France,Maize (corn),t,10877190.0,The production of Maize (corn) in France is 10877190.0 t per year
France,Margarine and shortening,t,51600.0,The production of Margarine and shortening in France is 51600.0 t per year
France,"Meat of cattle with the bone, fresh or chilled",t,1361310.0,"The production of Meat of cattle with the bone, fresh or chilled in France is 1361310.0 t per year"
France,"Meat of chickens, fresh or chilled",t,1114430.0,"The production of Meat of chickens, fresh or chilled in France is 1114430.0 t per year"
France,"Meat of ducks, fresh or chilled",t,117840.0,"The production of Meat of ducks, fresh or chilled in France is 117840.0 t per year"
France,"Meat of geese, fresh or chilled",t,1313.0,"The production of Meat of geese, fresh or chilled in France is 1313.0 t per year"
France,"Meat of goat, fresh or chilled",t,6270.0,"The production of Meat of goat, fresh or chilled in France is 6270.0 t per year"
France,"Meat of pig with the bone, fresh or chilled",t,2152260.0,"The production of Meat of pig with the bone, fresh or chilled in France is 2152260.0 t per year"
France,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",t,886.28,"The production of Meat of pigeons and other birds n.e.c., fresh, chilled or frozen in France is 886.28 t per year"
France,"Meat of rabbits and hares, fresh or chilled",t,25707.0,"The production of Meat of rabbits and hares, fresh or chilled in France is 25707.0 t per year"
France,"Meat of sheep, fresh or chilled",t,79200.0,"The production of Meat of sheep, fresh or chilled in France is 79200.0 t per year"
France,"Meat of turkeys, fresh or chilled",t,244920.0,"The production of Meat of turkeys, fresh or chilled in France is 244920.0 t per year"
France,Millet,t,40603.59,The production of Millet in France is 40603.59 t per year
France,Mixed grain,t,462200.0,The production of Mixed grain in France is 462200.0 t per year
France,Molasses,t,1141117.28,The production of Molasses in France is 1141117.28 t per year
France,Mushrooms and truffles,t,101800.0,The production of Mushrooms and truffles in France is 101800.0 t per year
France,Mustard seed,t,16300.0,The production of Mustard seed in France is 16300.0 t per year
France,Natural honey,t,20019.0,The production of Natural honey in France is 20019.0 t per year
France,Oats,t,379000.0,The production of Oats in France is 379000.0 t per year
France,Oil of linseed,t,11600.0,The production of Oil of linseed in France is 11600.0 t per year
France,Oil of maize,t,65500.0,The production of Oil of maize in France is 65500.0 t per year
France,Oil of palm kernel,t,2.26,The production of Oil of palm kernel in France is 2.26 t per year
France,Oil of sesame seed,t,5064.61,The production of Oil of sesame seed in France is 5064.61 t per year
France,Olive oil,t,4500.0,The production of Olive oil in France is 4500.0 t per year
France,Olives,t,21930.0,The production of Olives in France is 21930.0 t per year
France,"Onions and shallots, dry (excluding dehydrated)",t,781660.0,"The production of Onions and shallots, dry (excluding dehydrated) in France is 781660.0 t per year"
France,"Onions and shallots, green",t,49476.0,"The production of Onions and shallots, green in France is 49476.0 t per year"
France,Oranges,t,9760.0,The production of Oranges in France is 9760.0 t per year
France,"Other beans, green",t,378020.0,"The production of Other beans, green in France is 378020.0 t per year"
France,Other berries and fruits of the genus vaccinium n.e.c.,t,0.0,The production of Other berries and fruits of the genus vaccinium n.e.c. in France is 0.0 t per year
France,"Other citrus fruit, n.e.c.",t,0.0,"The production of Other citrus fruit, n.e.c. in France is 0.0 t per year"
France,"Other fruits, n.e.c.",t,39886.8,"The production of Other fruits, n.e.c. in France is 39886.8 t per year"
France,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",t,68942.0,"The production of Other meat n.e.c. (excluding mammals), fresh, chilled or frozen in France is 68942.0 t per year"
France,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",t,1980.0,"The production of Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. in France is 1980.0 t per year"
France,"Other oil seeds, n.e.c.",t,18740.0,"The production of Other oil seeds, n.e.c. in France is 18740.0 t per year"
France,Other pulses n.e.c.,t,228800.0,The production of Other pulses n.e.c. in France is 228800.0 t per year
France,Other stone fruits,t,12410.0,The production of Other stone fruits in France is 12410.0 t per year
France,"Other tropical fruits, n.e.c.",t,45810.0,"The production of Other tropical fruits, n.e.c. in France is 45810.0 t per year"
France,"Other vegetables, fresh n.e.c.",t,10850.0,"The production of Other vegetables, fresh n.e.c. in France is 10850.0 t per year"
France,Peaches and nectarines,t,232030.0,The production of Peaches and nectarines in France is 232030.0 t per year
France,Pears,t,142570.0,The production of Pears in France is 142570.0 t per year
France,"Peas, dry",t,399910.0,"The production of Peas, dry in France is 399910.0 t per year"
France,"Peas, green",t,295500.0,"The production of Peas, green in France is 295500.0 t per year"
France,"Pig fat, rendered",t,146172.72,"The production of Pig fat, rendered in France is 146172.72 t per year"
France,Plums and sloes,t,99990.0,The production of Plums and sloes in France is 99990.0 t per year
France,Pomelos and grapefruits,t,9370.0,The production of Pomelos and grapefruits in France is 9370.0 t per year
France,Poppy seed,t,5056.87,The production of Poppy seed in France is 5056.87 t per year
France,Potatoes,t,8067380.0,The production of Potatoes in France is 8067380.0 t per year
France,"Pumpkins, squash and gourds",t,365920.0,"The production of Pumpkins, squash and gourds in France is 365920.0 t per year"
France,Quinces,t,0.0,The production of Quinces in France is 0.0 t per year
France,Rape or colza seed,t,4516540.0,The production of Rape or colza seed in France is 4516540.0 t per year
France,"Rapeseed or canola oil, crude",t,1835900.0,"The production of Rapeseed or canola oil, crude in France is 1835900.0 t per year"
France,Raspberries,t,5970.0,The production of Raspberries in France is 5970.0 t per year
France,Raw cane or beet sugar (centrifugal only),t,4690999.22,The production of Raw cane or beet sugar (centrifugal only) in France is 4690999.22 t per year
France,Raw hides and skins of cattle,t,137767.3,The production of Raw hides and skins of cattle in France is 137767.3 t per year
France,Raw hides and skins of goats or kids,t,276.09,The production of Raw hides and skins of goats or kids in France is 276.09 t per year
France,Raw hides and skins of sheep or lambs,t,11527.91,The production of Raw hides and skins of sheep or lambs in France is 11527.91 t per year
France,Raw milk of buffalo,t,0.0,The production of Raw milk of buffalo in France is 0.0 t per year
France,Raw milk of cattle,t,23967960.0,The production of Raw milk of cattle in France is 23967960.0 t per year
France,Raw milk of goats,t,717610.0,The production of Raw milk of goats in France is 717610.0 t per year
France,Raw milk of sheep,t,343280.0,The production of Raw milk of sheep in France is 343280.0 t per year
France,Raw silk (not thrown),t,0.0,The production of Raw silk (not thrown) in France is 0.0 t per year
France,Rice,t,64480.0,The production of Rice in France is 64480.0 t per year
France,Rye,t,157640.0,The production of Rye in France is 157640.0 t per year
France,"Safflower-seed oil, crude",t,139.52,"The production of Safflower-seed oil, crude in France is 139.52 t per year"
France,"Sheep fat, unrendered",t,4853.86,"The production of Sheep fat, unrendered in France is 4853.86 t per year"
France,"Shorn wool, greasy, including fleece-washed shorn wool",t,14280.16,"The production of Shorn wool, greasy, including fleece-washed shorn wool in France is 14280.16 t per year"
France,Silk-worm cocoons suitable for reeling,t,0.0,The production of Silk-worm cocoons suitable for reeling in France is 0.0 t per year
France,Skim milk and whey powder,t,326760.0,The production of Skim milk and whey powder in France is 326760.0 t per year
France,Skim milk of cows,t,9373092.32,The production of Skim milk of cows in France is 9373092.32 t per year
France,"Skim milk, condensed",t,0.0,"The production of Skim milk, condensed in France is 0.0 t per year"
France,"Skim milk, evaporated",t,0.0,"The production of Skim milk, evaporated in France is 0.0 t per year"
France,Sorghum,t,210940.0,The production of Sorghum in France is 210940.0 t per year
France,Sour cherries,t,2840.0,The production of Sour cherries in France is 2840.0 t per year
France,Soya bean oil,t,120000.0,The production of Soya bean oil in France is 120000.0 t per year
France,Soya beans,t,375820.0,The production of Soya beans in France is 375820.0 t per year
France,Spinach,t,113650.0,The production of Spinach in France is 113650.0 t per year
France,Strawberries,t,78490.0,The production of Strawberries in France is 78490.0 t per year
France,String beans,t,393588.6,The production of String beans in France is 393588.6 t per year
France,Sugar beet,t,31496750.0,The production of Sugar beet in France is 31496750.0 t per year
France,Sunflower seed,t,1798380.0,The production of Sunflower seed in France is 1798380.0 t per year
France,"Sunflower-seed oil, crude",t,528700.0,"The production of Sunflower-seed oil, crude in France is 528700.0 t per year"
France,Tallow,t,233700.0,The production of Tallow in France is 233700.0 t per year
France,"Tangerines, mandarins, clementines",t,50750.0,"The production of Tangerines, mandarins, clementines in France is 50750.0 t per year"
France,Tomatoes,t,711040.0,The production of Tomatoes in France is 711040.0 t per year
France,Triticale,t,1613730.0,The production of Triticale in France is 1613730.0 t per year
France,"True hemp, raw or retted",t,121720.0,"The production of True hemp, raw or retted in France is 121720.0 t per year"
France,Unmanufactured tobacco,t,3170.0,The production of Unmanufactured tobacco in France is 3170.0 t per year
France,"Walnuts, in shell",t,49680.0,"The production of Walnuts, in shell in France is 49680.0 t per year"
France,Watermelons,t,23770.0,The production of Watermelons in France is 23770.0 t per year
France,Wheat,t,34632380.0,The production of Wheat in France is 34632380.0 t per year
France,"Whey, condensed",t,0.0,"The production of Whey, condensed in France is 0.0 t per year"
France,"Whey, dry",t,402930.0,"The production of Whey, dry in France is 402930.0 t per year"
France,Whole milk powder,t,93890.0,The production of Whole milk powder in France is 93890.0 t per year
France,"Whole milk, condensed",t,46110.0,"The production of Whole milk, condensed in France is 46110.0 t per year"
France,"Whole milk, evaporated",t,19989.67,"The production of Whole milk, evaporated in France is 19989.67 t per year"
France,Wine,t,3713200.0,The production of Wine in France is 3713200.0 t per year
France,Yoghurt,t,450930.0,The production of Yoghurt in France is 450930.0 t per year
France,"Beef and Buffalo Meat, primary",t,1361310.0,"The production of Beef and Buffalo Meat, primary in France is 1361310.0 t per year"
France,Butter and Ghee,t,410540.0,The production of Butter and Ghee in France is 410540.0 t per year
France,"Cereals, primary",t,59927490.0,"The production of Cereals, primary in France is 59927490.0 t per year"
France,Cheese (All Kinds),t,2217980.0,The production of Cheese (All Kinds) in France is 2217980.0 t per year
France,"Citrus Fruit, Total",t,91570.0,"The production of Citrus Fruit, Total in France is 91570.0 t per year"
France,Eggs Primary,t,877856.0,The production of Eggs Primary in France is 877856.0 t per year
France,Evaporated & Condensed Milk,t,66100.0,The production of Evaporated & Condensed Milk in France is 66100.0 t per year
France,"Fibre Crops, Fibre Equivalent",t,774400.0,"The production of Fibre Crops, Fibre Equivalent in France is 774400.0 t per year"
France,Fruit Primary,t,9509441.0,The production of Fruit Primary in France is 9509441.0 t per year
France,"Meat, Poultry",t,1478475.52,"The production of Meat, Poultry in France is 1478475.52 t per year"
France,"Meat, Total",t,5106483.29,"The production of Meat, Total in France is 5106483.29 t per year"
France,"Milk, Total",t,25028850.0,"The production of Milk, Total in France is 25028850.0 t per year"
France,"Oilcrops, Cake Equivalent",t,4329556.0,"The production of Oilcrops, Cake Equivalent in France is 4329556.0 t per year"
France,"Oilcrops, Oil Equivalent",t,2789220.54,"The production of Oilcrops, Oil Equivalent in France is 2789220.54 t per year"
France,"Pulses, Total",t,797580.0,"The production of Pulses, Total in France is 797580.0 t per year"
France,"Roots and Tubers, Total",t,8067380.0,"The production of Roots and Tubers, Total in France is 8067380.0 t per year"
France,Sheep and Goat Meat,t,85470.0,The production of Sheep and Goat Meat in France is 85470.0 t per year
France,"Skim Milk & Buttermilk, Dry",t,353260.0,"The production of Skim Milk & Buttermilk, Dry in France is 353260.0 t per year"
France,Sugar Crops Primary,t,31496750.0,The production of Sugar Crops Primary in France is 31496750.0 t per year
France,"Treenuts, Total",t,74420.0,"The production of Treenuts, Total in France is 74420.0 t per year"
France,Vegetables Primary,t,5154977.0,The production of Vegetables Primary in France is 5154977.0 t per year
French Guiana,Avocados,t,1347.0,The production of Avocados in French Guiana is 1347.0 t per year
French Guiana,Bananas,t,3582.0,The production of Bananas in French Guiana is 3582.0 t per year
French Guiana,Cabbages,t,3041.0,The production of Cabbages in French Guiana is 3041.0 t per year
French Guiana,"Cassava, fresh",t,29509.0,"The production of Cassava, fresh in French Guiana is 29509.0 t per year"
French Guiana,"Cattle fat, unrendered",t,11.0,"The production of Cattle fat, unrendered in French Guiana is 11.0 t per year"
French Guiana,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",t,0.0,"The production of Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw in French Guiana is 0.0 t per year"
French Guiana,"Coconuts, in shell",t,249.0,"The production of Coconuts, in shell in French Guiana is 249.0 t per year"
French Guiana,Cucumbers and gherkins,t,964.0,The production of Cucumbers and gherkins in French Guiana is 964.0 t per year
French Guiana,"Edible offal of cattle, fresh, chilled or frozen",t,46.0,"The production of Edible offal of cattle, fresh, chilled or frozen in French Guiana is 46.0 t per year"
French Guiana,"Edible offal of goat, fresh, chilled or frozen",t,0.0,"The production of Edible offal of goat, fresh, chilled or frozen in French Guiana is 0.0 t per year"
French Guiana,"Edible offal of pigs, fresh, chilled or frozen",t,32.0,"The production of Edible offal of pigs, fresh, chilled or frozen in French Guiana is 32.0 t per year"
French Guiana,"Edible offal of sheep, fresh, chilled or frozen",t,1.0,"The production of Edible offal of sheep, fresh, chilled or frozen in French Guiana is 1.0 t per year"
French Guiana,Eggplants (aubergines),t,362.0,The production of Eggplants (aubergines) in French Guiana is 362.0 t per year
French Guiana,Fat of pigs,t,33.0,The production of Fat of pigs in French Guiana is 33.0 t per year
French Guiana,"Goat fat, unrendered",t,0.0,"The production of Goat fat, unrendered in French Guiana is 0.0 t per year"
