,Area,Item,Unit,Value,Sentence
73771,Gambia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,22.3,In Gambia the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 22.3 %
73779,Gambia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,28,In Gambia the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 28 %
73787,Gambia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,25.9,In Gambia the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 25.9 %
73795,Gambia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,23.4,In Gambia the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 23.4 %
73803,Gambia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,28.4,In Gambia the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 28.4 %
73835,Gambia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,59.9,In Gambia the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 59.9 %
73843,Gambia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,56.7,In Gambia the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 56.7 %
73851,Gambia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,63.1,In Gambia the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 63.1 %
73859,Gambia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,58.1,In Gambia the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 58.1 %
73867,Gambia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,55,In Gambia the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 55 %
73875,Gambia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,61.2,In Gambia the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 61.2 %
74040,Gambia,Cereal import dependency ratio (percent) (3-year average),%,84.9,In Gambia the Cereal import dependency ratio (percent) (3-year average) is 84.9 %
74061,Gambia,Percent of arable land equipped for irrigation (percent) (3-year average),%,0.5,In Gambia the Percent of arable land equipped for irrigation (percent) (3-year average) is 0.5 %
74082,Gambia,Value of food imports in total merchandise exports (percent) (3-year average),%,341,In Gambia the Value of food imports in total merchandise exports (percent) (3-year average) is 341 %
74104,Gambia,Political stability and absence of violence/terrorism (index),,0.05,
74128,Gambia,Per capita food supply variability (kcal/cap/day),kcal/cap/d,40,In Gambia the Per capita food supply variability (kcal/cap/day) is 40 kcal/cap/d
74151,Gambia,Percentage of population using safely managed drinking water services (percent),%,48,In Gambia the Percentage of population using safely managed drinking water services (percent) is 48 %
74174,Gambia,Percentage of population using at least basic drinking water services (percent),%,86,In Gambia the Percentage of population using at least basic drinking water services (percent) is 86 %
74197,Gambia,Percentage of population using safely managed sanitation services (percent),%,28,In Gambia the Percentage of population using safely managed sanitation services (percent) is 28 %
74220,Gambia,Percentage of population using at least basic sanitation services (percent),%,48,In Gambia the Percentage of population using at least basic sanitation services (percent) is 48 %
74243,Gambia,Percentage of children under 5 years affected by wasting (percent),%,,In Gambia the Percentage of children under 5 years affected by wasting (percent) is nan %
74290,Gambia,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,13.6,In Gambia the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 13.6 %
74336,Gambia,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,1.8,In Gambia the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 1.8 %
74382,Gambia,Prevalence of obesity in the adult population (18 years and older) (percent),%,14.9,In Gambia the Prevalence of obesity in the adult population (18 years and older) (percent) is 14.9 %
74405,Gambia,Number of obese adults (18 years and older) (million),million No,0.2,In Gambia the Number of obese adults (18 years and older) (million) is 0.2 million No
74425,Gambia,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,49.5,In Gambia the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 49.5 %
74468,Gambia,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Gambia the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
74489,Gambia,Prevalence of low birthweight (percent),%,13.2,In Gambia the Prevalence of low birthweight (percent) is 13.2 %
74534,Gambia,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1765,In Gambia the Minimum dietary energy requirement  (kcal/cap/day) is 1765 kcal/cap/d
74558,Gambia,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2277,In Gambia the Average dietary energy requirement (kcal/cap/day) is 2277 kcal/cap/d
74582,Gambia,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.29,In Gambia the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.29 No
74606,Gambia,Incidence of caloric losses at retail distribution level (percent),%,2.25,In Gambia the Incidence of caloric losses at retail distribution level (percent) is 2.25 %
74627,Gambia,Average fat supply (g/cap/day) (3-year average),g/cap/d,58.6,In Gambia the Average fat supply (g/cap/day) (3-year average) is 58.6 g/cap/d
74649,Georgia,Average dietary energy supply adequacy (percent) (3-year average),%,126,In Georgia the Average dietary energy supply adequacy (percent) (3-year average) is 126 %
74673,Georgia,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,3135,In Georgia the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 3135 kcal/cap/d
74695,Georgia,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,3092,In Georgia the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 3092 kcal/cap/d
74716,Georgia,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,48,"In Georgia the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 48 %"
74737,Georgia,Average protein supply (g/cap/day) (3-year average),g/cap/d,91.2,In Georgia the Average protein supply (g/cap/day) (3-year average) is 91.2 g/cap/d
74758,Georgia,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,39.8,In Georgia the Average supply of protein of animal origin (g/cap/day) (3-year average) is 39.8 g/cap/d
74780,Georgia,Rail lines density (total route in km per 100 square km of land area),km,2,In Georgia the Rail lines density (total route in km per 100 square km of land area) is 2 km
74803,Georgia,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,20612.2,"In Georgia the Gross domestic product per capita, PPP, (constant 2017 international $) is 20612.2 Int$/cap"
74825,Georgia,Prevalence of undernourishment (percent) (3-year average),%,4,In Georgia the Prevalence of undernourishment (percent) (3-year average) is 4 %
74879,Georgia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,7.4,In Georgia the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 7.4 %
74887,Georgia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,5.7,In Georgia the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 5.7 %
74895,Georgia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,9,In Georgia the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 9 %
74903,Georgia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,7.6,In Georgia the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 7.6 %
74911,Georgia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,6.5,In Georgia the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 6.5 %
74919,Georgia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,8.8,In Georgia the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 8.8 %
74951,Georgia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,30.3,In Georgia the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 30.3 %
74959,Georgia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,26.8,In Georgia the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 26.8 %
74967,Georgia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,33.7,In Georgia the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 33.7 %
74975,Georgia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,34.5,In Georgia the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 34.5 %
74983,Georgia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,32,In Georgia the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 32 %
74991,Georgia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,37,In Georgia the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 37 %
75156,Georgia,Cereal import dependency ratio (percent) (3-year average),%,65,In Georgia the Cereal import dependency ratio (percent) (3-year average) is 65 %
75177,Georgia,Percent of arable land equipped for irrigation (percent) (3-year average),%,1.6,In Georgia the Percent of arable land equipped for irrigation (percent) (3-year average) is 1.6 %
75198,Georgia,Value of food imports in total merchandise exports (percent) (3-year average),%,27,In Georgia the Value of food imports in total merchandise exports (percent) (3-year average) is 27 %
75220,Georgia,Political stability and absence of violence/terrorism (index),,-0.44,
75244,Georgia,Per capita food supply variability (kcal/cap/day),kcal/cap/d,50,In Georgia the Per capita food supply variability (kcal/cap/day) is 50 kcal/cap/d
75267,Georgia,Percentage of population using safely managed drinking water services (percent),%,69,In Georgia the Percentage of population using safely managed drinking water services (percent) is 69 %
75290,Georgia,Percentage of population using at least basic drinking water services (percent),%,95,In Georgia the Percentage of population using at least basic drinking water services (percent) is 95 %
75313,Georgia,Percentage of population using safely managed sanitation services (percent),%,24,In Georgia the Percentage of population using safely managed sanitation services (percent) is 24 %
75336,Georgia,Percentage of population using at least basic sanitation services (percent),%,86,In Georgia the Percentage of population using at least basic sanitation services (percent) is 86 %
75359,Georgia,Percentage of children under 5 years affected by wasting (percent),%,,In Georgia the Percentage of children under 5 years affected by wasting (percent) is nan %
75406,Georgia,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,4.8,In Georgia the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 4.8 %
75452,Georgia,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,5,In Georgia the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 5 %
75498,Georgia,Prevalence of obesity in the adult population (18 years and older) (percent),%,34.7,In Georgia the Prevalence of obesity in the adult population (18 years and older) (percent) is 34.7 %
75521,Georgia,Number of obese adults (18 years and older) (million),million No,1,In Georgia the Number of obese adults (18 years and older) (million) is 1 million No
75541,Georgia,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,27.5,In Georgia the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 27.5 %
75584,Georgia,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Georgia the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
75605,Georgia,Prevalence of low birthweight (percent),%,7.4,In Georgia the Prevalence of low birthweight (percent) is 7.4 %
75650,Georgia,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1894,In Georgia the Minimum dietary energy requirement  (kcal/cap/day) is 1894 kcal/cap/d
75674,Georgia,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2451,In Georgia the Average dietary energy requirement (kcal/cap/day) is 2451 kcal/cap/d
75698,Georgia,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.25,In Georgia the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.25 No
75722,Georgia,Incidence of caloric losses at retail distribution level (percent),%,1.97,In Georgia the Incidence of caloric losses at retail distribution level (percent) is 1.97 %
75743,Georgia,Average fat supply (g/cap/day) (3-year average),g/cap/d,84.9,In Georgia the Average fat supply (g/cap/day) (3-year average) is 84.9 g/cap/d
75765,Germany,Average dietary energy supply adequacy (percent) (3-year average),%,144,In Germany the Average dietary energy supply adequacy (percent) (3-year average) is 144 %
75789,Germany,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,3662,In Germany the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 3662 kcal/cap/d
75811,Germany,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,3651,In Germany the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 3651 kcal/cap/d
75826,Germany,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,24,"In Germany the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 24 %"
75841,Germany,Average protein supply (g/cap/day) (3-year average),g/cap/d,110,In Germany the Average protein supply (g/cap/day) (3-year average) is 110 g/cap/d
75856,Germany,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,73,In Germany the Average supply of protein of animal origin (g/cap/day) (3-year average) is 73 g/cap/d
75878,Germany,Rail lines density (total route in km per 100 square km of land area),km,9.3,In Germany the Rail lines density (total route in km per 100 square km of land area) is 9.3 km
75901,Germany,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,62605.5,"In Germany the Gross domestic product per capita, PPP, (constant 2017 international $) is 62605.5 Int$/cap"
75923,Germany,Prevalence of undernourishment (percent) (3-year average),%,<2.5,In Germany the Prevalence of undernourishment (percent) (3-year average) is <2.5 %
75977,Germany,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,2,In Germany the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 2 %
75985,Germany,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,0.6,In Germany the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 0.6 %
75993,Germany,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,3.4,In Germany the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 3.4 %
76001,Germany,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,1,In Germany the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 1 %
76009,Germany,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,0.5,In Germany the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 0.5 %
76017,Germany,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,1.6,In Germany the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 1.6 %
76049,Germany,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,4.7,In Germany the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 4.7 %
76057,Germany,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,2.6,In Germany the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 2.6 %
76065,Germany,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,6.7,In Germany the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 6.7 %
76073,Germany,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,3.4,In Germany the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 3.4 %
76081,Germany,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,2.3,In Germany the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 2.3 %
76089,Germany,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,4.5,In Germany the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 4.5 %
76248,Germany,Cereal import dependency ratio (percent) (3-year average),%,-0.1,In Germany the Cereal import dependency ratio (percent) (3-year average) is -0.1 %
76269,Germany,Percent of arable land equipped for irrigation (percent) (3-year average),%,1.9,In Germany the Percent of arable land equipped for irrigation (percent) (3-year average) is 1.9 %
76290,Germany,Value of food imports in total merchandise exports (percent) (3-year average),%,6,In Germany the Value of food imports in total merchandise exports (percent) (3-year average) is 6 %
76312,Germany,Political stability and absence of violence/terrorism (index),,0.61,
76336,Germany,Per capita food supply variability (kcal/cap/day),kcal/cap/d,11,In Germany the Per capita food supply variability (kcal/cap/day) is 11 kcal/cap/d
76359,Germany,Percentage of population using safely managed drinking water services (percent),%,99,In Germany the Percentage of population using safely managed drinking water services (percent) is 99 %
76382,Germany,Percentage of population using at least basic drinking water services (percent),%,99,In Germany the Percentage of population using at least basic drinking water services (percent) is 99 %
76405,Germany,Percentage of population using safely managed sanitation services (percent),%,97,In Germany the Percentage of population using safely managed sanitation services (percent) is 97 %
76428,Germany,Percentage of population using at least basic sanitation services (percent),%,99,In Germany the Percentage of population using at least basic sanitation services (percent) is 99 %
76451,Germany,Percentage of children under 5 years affected by wasting (percent),%,,In Germany the Percentage of children under 5 years affected by wasting (percent) is nan %
76498,Germany,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,2.1,In Germany the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 2.1 %
76544,Germany,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,3.1,In Germany the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 3.1 %
76590,Germany,Prevalence of obesity in the adult population (18 years and older) (percent),%,20.4,In Germany the Prevalence of obesity in the adult population (18 years and older) (percent) is 20.4 %
76613,Germany,Number of obese adults (18 years and older) (million),million No,14.2,In Germany the Number of obese adults (18 years and older) (million) is 14.2 million No
76633,Germany,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,11.7,In Germany the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 11.7 %
76676,Germany,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Germany the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
76697,Germany,Prevalence of low birthweight (percent),%,6.7,In Germany the Prevalence of low birthweight (percent) is 6.7 %
76742,Germany,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1946,In Germany the Minimum dietary energy requirement  (kcal/cap/day) is 1946 kcal/cap/d
76766,Germany,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2529,In Germany the Average dietary energy requirement (kcal/cap/day) is 2529 kcal/cap/d
76790,Germany,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.21,In Germany the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.21 No
76814,Germany,Incidence of caloric losses at retail distribution level (percent),%,1.73,In Germany the Incidence of caloric losses at retail distribution level (percent) is 1.73 %
76829,Germany,Average fat supply (g/cap/day) (3-year average),g/cap/d,166.1,In Germany the Average fat supply (g/cap/day) (3-year average) is 166.1 g/cap/d
76851,Ghana,Average dietary energy supply adequacy (percent) (3-year average),%,135,In Ghana the Average dietary energy supply adequacy (percent) (3-year average) is 135 %
76875,Ghana,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,3106,In Ghana the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 3106 kcal/cap/d
76897,Ghana,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,3108,In Ghana the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 3108 kcal/cap/d
76918,Ghana,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,67,"In Ghana the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 67 %"
76939,Ghana,Average protein supply (g/cap/day) (3-year average),g/cap/d,68.2,In Ghana the Average protein supply (g/cap/day) (3-year average) is 68.2 g/cap/d
76960,Ghana,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,18.5,In Ghana the Average supply of protein of animal origin (g/cap/day) (3-year average) is 18.5 g/cap/d
76965,Ghana,Rail lines density (total route in km per 100 square km of land area),km,0.4,In Ghana the Rail lines density (total route in km per 100 square km of land area) is 0.4 km
76988,Ghana,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,6616.1,"In Ghana the Gross domestic product per capita, PPP, (constant 2017 international $) is 6616.1 Int$/cap"
77010,Ghana,Prevalence of undernourishment (percent) (3-year average),%,6.2,In Ghana the Prevalence of undernourishment (percent) (3-year average) is 6.2 %
77064,Ghana,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,7.9,In Ghana the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 7.9 %
77072,Ghana,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,7.3,In Ghana the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 7.3 %
77080,Ghana,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,8.6,In Ghana the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 8.6 %
77088,Ghana,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,8.6,In Ghana the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 8.6 %
77096,Ghana,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,7.9,In Ghana the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 7.9 %
77104,Ghana,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,9.2,In Ghana the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 9.2 %
77136,Ghana,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,41.3,In Ghana the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 41.3 %
77144,Ghana,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,39.8,In Ghana the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 39.8 %
77152,Ghana,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,42.8,In Ghana the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 42.8 %
77160,Ghana,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,43.5,In Ghana the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 43.5 %
77168,Ghana,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,42.1,In Ghana the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 42.1 %
77176,Ghana,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,45,In Ghana the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 45 %
77341,Ghana,Cereal import dependency ratio (percent) (3-year average),%,35.6,In Ghana the Cereal import dependency ratio (percent) (3-year average) is 35.6 %
77362,Ghana,Percent of arable land equipped for irrigation (percent) (3-year average),%,1,In Ghana the Percent of arable land equipped for irrigation (percent) (3-year average) is 1 %
77383,Ghana,Value of food imports in total merchandise exports (percent) (3-year average),%,19,In Ghana the Value of food imports in total merchandise exports (percent) (3-year average) is 19 %
77405,Ghana,Political stability and absence of violence/terrorism (index),,-0.07,
77429,Ghana,Per capita food supply variability (kcal/cap/day),kcal/cap/d,33,In Ghana the Per capita food supply variability (kcal/cap/day) is 33 kcal/cap/d
77452,Ghana,Percentage of population using safely managed drinking water services (percent),%,44,In Ghana the Percentage of population using safely managed drinking water services (percent) is 44 %
77475,Ghana,Percentage of population using at least basic drinking water services (percent),%,88,In Ghana the Percentage of population using at least basic drinking water services (percent) is 88 %
77498,Ghana,Percentage of population using safely managed sanitation services (percent),%,16,In Ghana the Percentage of population using safely managed sanitation services (percent) is 16 %
77521,Ghana,Percentage of population using at least basic sanitation services (percent),%,29,In Ghana the Percentage of population using at least basic sanitation services (percent) is 29 %
77544,Ghana,Percentage of children under 5 years affected by wasting (percent),%,5.8,In Ghana the Percentage of children under 5 years affected by wasting (percent) is 5.8 %
77591,Ghana,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,12.7,In Ghana the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 12.7 %
77637,Ghana,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,1.9,In Ghana the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 1.9 %
77683,Ghana,Prevalence of obesity in the adult population (18 years and older) (percent),%,12.9,In Ghana the Prevalence of obesity in the adult population (18 years and older) (percent) is 12.9 %
77706,Ghana,Number of obese adults (18 years and older) (million),million No,2.5,In Ghana the Number of obese adults (18 years and older) (million) is 2.5 million No
77726,Ghana,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,35.4,In Ghana the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 35.4 %
77769,Ghana,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,53.1,In Ghana the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is 53.1 %
77790,Ghana,Prevalence of low birthweight (percent),%,14.4,In Ghana the Prevalence of low birthweight (percent) is 14.4 %
77835,Ghana,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1788,In Ghana the Minimum dietary energy requirement  (kcal/cap/day) is 1788 kcal/cap/d
77859,Ghana,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2307,In Ghana the Average dietary energy requirement (kcal/cap/day) is 2307 kcal/cap/d
77883,Ghana,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.32,In Ghana the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.32 No
77907,Ghana,Incidence of caloric losses at retail distribution level (percent),%,4.87,In Ghana the Incidence of caloric losses at retail distribution level (percent) is 4.87 %
77928,Ghana,Average fat supply (g/cap/day) (3-year average),g/cap/d,47.1,In Ghana the Average fat supply (g/cap/day) (3-year average) is 47.1 g/cap/d
77950,Greece,Average dietary energy supply adequacy (percent) (3-year average),%,134,In Greece the Average dietary energy supply adequacy (percent) (3-year average) is 134 %
77974,Greece,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,3405,In Greece the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 3405 kcal/cap/d
77996,Greece,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,3381,In Greece the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 3381 kcal/cap/d
78011,Greece,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,27,"In Greece the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 27 %"
78026,Greece,Average protein supply (g/cap/day) (3-year average),g/cap/d,105.8,In Greece the Average protein supply (g/cap/day) (3-year average) is 105.8 g/cap/d
78041,Greece,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,64.4,In Greece the Average supply of protein of animal origin (g/cap/day) (3-year average) is 64.4 g/cap/d
78063,Greece,Rail lines density (total route in km per 100 square km of land area),km,1.8,In Greece the Rail lines density (total route in km per 100 square km of land area) is 1.8 km
78086,Greece,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,35328.8,"In Greece the Gross domestic product per capita, PPP, (constant 2017 international $) is 35328.8 Int$/cap"
78108,Greece,Prevalence of undernourishment (percent) (3-year average),%,<2.5,In Greece the Prevalence of undernourishment (percent) (3-year average) is <2.5 %
78162,Greece,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,1.1,In Greece the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 1.1 %
78170,Greece,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,0.8,In Greece the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 0.8 %
78178,Greece,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,1.5,In Greece the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 1.5 %
78186,Greece,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,1.8,In Greece the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 1.8 %
